codon	cat	obs	ansum	anmax
Aga/Cga	0.0000e+00	2237	550710401	251496
Aga/Cga	1.0000e+00	802	196991328	251494
Aga/Cga	2.0000e+00	317	78602685	251490
Aga/Cga	3.0000e+00	165	40729345	251496
Aga/Cga	4.0000e+00	81	20092008	251490
Aga/Cga	5.0000e+00	49	12187122	251490
Aga/Cga	6.0000e+00	32	7947740	251492
Aga/Cga	7.0000e+00	33	8052229	251484
Aga/Cga	8.0000e+00	17	4211648	251402
Aga/Cga	9.0000e+00	16	3895095	251412
Aga/Cga	1.0000e+01	13	3216226	251436
Aga/Cga	1.1000e+01	6	1485214	251438
Aga/Cga	1.2000e+01	7	1665130	251464
Aga/Cga	1.3000e+01	4	992086	251452
Aga/Cga	1.4000e+01	5	1254814	251442
Aga/Cga	1.5000e+01	1	249540	249540
Aga/Cga	1.6000e+01	7	1744140	251212
Aga/Cga	1.7000e+01	11	2753184	251478
Agg/Cgg	0.0000e+00	2557	628722170	251496
Agg/Cgg	1.0000e+00	834	204917263	251496
Agg/Cgg	2.0000e+00	297	73060287	251496
Agg/Cgg	3.0000e+00	188	46364957	251492
Agg/Cgg	4.0000e+00	88	21797204	251488
Agg/Cgg	5.0000e+00	62	15146063	251488
Agg/Cgg	6.0000e+00	40	9786179	251496
Agg/Cgg	7.0000e+00	22	5389728	251492
Agg/Cgg	8.0000e+00	20	4919174	251484
Agg/Cgg	9.0000e+00	16	3897274	251474
Agg/Cgg	1.0000e+01	10	2460256	251112
Agg/Cgg	1.1000e+01	6	1492036	251466
Agg/Cgg	1.2000e+01	6	1490258	251286
Agg/Cgg	1.3000e+01	3	646570	233968
Agg/Cgg	1.4000e+01	6	1494328	251364
Agg/Cgg	1.5000e+01	10	2420562	251360
Agg/Cgg	1.6000e+01	13	3195490	251272
Agg/Cgg	1.7000e+01	17	4204210	251442
Cga/Aga	0.0000e+00	3647	898081724	251496
Cga/Aga	1.0000e+00	1436	351529901	251496
Cga/Aga	2.0000e+00	587	144290521	251496
Cga/Aga	3.0000e+00	279	68658753	251496
Cga/Aga	4.0000e+00	147	36110727	251492
Cga/Aga	5.0000e+00	84	20533654	251492
Cga/Aga	6.0000e+00	72	17722507	251490
Cga/Aga	7.0000e+00	52	12750630	251492
Cga/Aga	8.0000e+00	44	10830227	251494
Cga/Aga	9.0000e+00	21	5252336	251464
Cga/Aga	1.0000e+01	18	4454590	251464
Cga/Aga	1.1000e+01	6	1504838	251374
Cga/Aga	1.2000e+01	7	1751700	251496
Cga/Aga	1.3000e+01	10	2445340	251374
Cga/Aga	1.4000e+01	6	1488428	251456
Cga/Aga	1.5000e+01	8	1966882	251396
Cga/Aga	1.6000e+01	8	1962216	251170
Cga/Aga	1.7000e+01	6	1437952	251480
Cgg/Agg	0.0000e+00	6194	1518158657	251496
Cgg/Agg	1.0000e+00	2550	623153851	251496
Cgg/Agg	2.0000e+00	1017	247991298	251496
Cgg/Agg	3.0000e+00	491	120116955	251492
Cgg/Agg	4.0000e+00	255	62249628	251496
Cgg/Agg	5.0000e+00	181	44305454	251488
Cgg/Agg	6.0000e+00	103	25181482	251484
Cgg/Agg	7.0000e+00	75	18174194	251494
Cgg/Agg	8.0000e+00	53	12956407	251494
Cgg/Agg	9.0000e+00	37	9166292	251490
Cgg/Agg	1.0000e+01	24	5893170	251484
Cgg/Agg	1.1000e+01	18	4257970	251482
Cgg/Agg	1.2000e+01	10	2493566	251384
Cgg/Agg	1.3000e+01	16	3931250	251430
Cgg/Agg	1.4000e+01	14	3370215	251488
Cgg/Agg	1.5000e+01	11	2650660	251470
Cgg/Agg	1.6000e+01	15	3703050	251400
Cgg/Agg	1.7000e+01	12	2980944	251428
Cta/Tta	0.0000e+00	5791	1423343683	251496
Cta/Tta	1.0000e+00	2219	545490042	251496
Cta/Tta	2.0000e+00	941	231273765	251496
